안전조직수준,위원회수준,인증보유,위험성평가수준,교육훈련도움,정리정돈상태,작업중지권,작업반장기여,전문지도,고용노동부감독,안전보건공단지원,공사규모,발주처,기성공정률,공사종류,외국인비율,사고발생
2,2,0,2,5,5,5,5,1,1,1,3,2,4,1,33.33,1
2,2,0,2,5,5,4,4,0,0,1,1,2,4,3,0.0,1
2,2,1,2,5,5,5,4,0,0,1,1,2,4,3,33.33,0
2,0,0,2,4,5,5,5,0,0,1,1,2,2,3,62.5,0
2,2,0,2,5,5,5,5,0,1,1,1,2,2,3,30.0,1
1,2,0,0,4,4,4,4,0,1,1,1,2,5,1,0.0,1
2,2,0,2,4,4,4,3,0,0,1,2,2,2,3,0.0,0
2,1,1,2,4,3,4,3,0,1,0,2,2,3,3,29.33,1
2,1,1,2,4,4,4,3,0,0,1,3,3,6,1,45.0,1
2,0,1,2,4,3,3,4,1,1,1,1,2,3,3,78.57,1
2,2,0,2,3,3,2,2,0,0,0,3,1,1,1,0.0,0
2,2,0,2,4,3,5,4,0,0,1,2,1,2,6,0.0,1
2,1,0,2,4,4,4,4,0,1,1,2,2,5,3,13.16,0
2,2,0,2,4,4,4,3,0,0,1,2,2,3,3,66.67,1
2,2,1,2,4,4,4,4,1,0,0,2,2,2,4,22.22,1
2,2,0,2,5,5,4,5,0,1,1,1,2,5,3,0.0,0
2,2,0,2,5,5,5,5,0,1,1,2,2,4,3,16.67,1
2,1,0,2,4,4,4,4,1,0,0,1,1,2,4,0.0,0
2,1,1,2,5,4,5,4,0,0,0,2,1,2,4,0.0,0
2,2,0,2,4,4,5,4,0,1,1,3,3,6,1,40.0,1
1,2,0,0,4,4,5,5,0,1,1,1,2,3,4,40.0,0
1,2,0,2,5,5,5,4,0,0,1,2,2,1,3,0.0,0
1,2,0,2,3,5,5,4,0,0,1,2,2,3,3,26.0,0
2,1,0,2,4,5,4,4,1,0,0,2,1,2,4,0.0,0
2,1,1,2,4,4,5,4,0,0,0,2,2,4,1,20.0,1
2,1,1,2,4,5,4,4,0,0,0,2,2,1,1,0.0,0
2,2,1,2,5,5,5,5,0,1,1,3,2,4,1,12.99,1
2,2,1,2,5,5,5,4,1,0,1,2,2,1,3,0.0,0
2,1,1,2,5,5,5,4,1,1,1,2,2,2,4,16.67,0
2,2,0,1,2,4,4,3,0,1,1,1,2,3,3,31.67,0
2,2,0,2,4,4,4,3,0,0,0,1,2,1,1,0.0,0
1,2,0,2,4,4,4,4,0,1,0,3,2,3,3,20.0,1
2,1,0,2,4,3,4,3,1,1,1,2,1,2,1,0.0,0
2,2,1,2,5,5,5,3,0,1,1,3,2,5,1,33.33,0
2,2,1,2,4,4,4,5,0,0,1,2,2,4,4,8.57,1
2,2,0,2,5,4,5,4,0,1,1,2,1,2,6,0.0,0
2,2,1,2,5,5,5,5,0,0,1,3,1,1,5,14.29,0
2,2,0,1,4,4,4,4,0,1,0,1,1,2,7,0.0,0
2,2,0,2,4,4,4,3,1,1,1,1,2,4,4,0.0,0
2,2,0,2,4,3,5,4,0,1,1,2,3,6,4,0.0,1
2,2,1,2,5,4,3,4,0,0,1,3,2,1,1,0.0,0
2,1,0,2,4,3,4,5,1,0,0,2,1,3,1,28.57,0
2,2,0,2,4,4,4,4,0,0,0,1,2,4,3,0.0,0
2,2,1,2,4,4,4,4,0,1,0,2,1,2,5,34.0,0
2,2,0,2,5,5,5,5,1,0,1,2,2,1,3,0.0,0
2,2,1,2,5,4,5,3,0,0,0,2,1,2,1,38.75,0
2,1,1,2,5,5,4,4,1,0,0,3,2,4,2,28.5,1
2,2,1,0,4,4,4,3,0,0,0,3,2,3,4,27.03,1
2,0,0,1,4,4,4,5,1,0,1,1,2,3,3,33.33,0
2,0,0,0,5,5,5,5,1,0,1,1,2,1,1,0.0,0
